IP:Port,Loss,Latency
188.114.99.186:7559,0%,172.87
188.114.99.74:1387,0%,172.87
188.114.99.136:3854,0%,173.17
188.114.99.0:3476,0%,173.24
188.114.99.242:880,0%,173.49
188.114.98.200:1010,0%,173.57
188.114.98.39:987,0%,173.98
188.114.98.182:1180,0%,174.25
188.114.98.87:2506,0%,174.63
188.114.99.244:7281,0%,175.26
188.114.99.102:8742,0%,176.26
188.114.99.206:8886,0%,176.33
162.159.195.96:1701,0%,179.11
188.114.98.144:1701,0%,179.13
188.114.98.232:891,0%,179.16
188.114.99.97:891,0%,179.35
188.114.99.76:1070,0%,179.45
188.114.98.223:878,0%,179.54
188.114.98.97:7152,0%,179.62
188.114.99.171:946,0%,179.62
188.114.98.164:8886,0%,179.71
188.114.99.68:4500,0%,179.76
188.114.98.16:939,0%,180.13
188.114.98.230:2506,0%,180.34
188.114.99.56:939,0%,180.42
188.114.98.67:8854,0%,180.49
188.114.99.108:7103,0%,180.54
188.114.98.152:968,0%,180.83
188.114.99.123:928,0%,181.00
188.114.98.227:934,0%,181.28
188.114.99.228:942,0%,181.28
188.114.98.244:1070,0%,181.41
188.114.99.30:942,0%,181.41
162.159.195.199:1014,0%,181.52
188.114.98.20:3854,0%,181.55
188.114.99.182:7156,0%,181.56
188.114.99.113:890,0%,181.62
188.114.98.107:3138,0%,181.74
188.114.98.26:7156,0%,181.93
162.159.195.205:3138,0%,181.93
188.114.99.104:3854,0%,182.00
188.114.99.122:934,0%,182.27
188.114.99.101:945,0%,182.36
188.114.98.76:903,0%,182.40
188.114.99.173:7156,0%,182.41
188.114.99.130:891,0%,182.45
188.114.99.108:3476,0%,182.47
162.159.195.77:946,0%,182.49
188.114.98.197:3476,0%,182.52
188.114.98.189:903,0%,182.65
188.114.99.58:955,0%,182.66
188.114.99.18:1010,0%,182.68
188.114.99.234:2506,0%,182.75
188.114.98.226:4198,0%,182.86
188.114.98.152:903,0%,182.86
188.114.98.233:934,0%,182.89
188.114.99.53:878,0%,182.97
162.159.195.240:7103,0%,183.02
188.114.98.2:8742,0%,183.05
188.114.99.164:880,0%,183.07
162.159.195.64:2408,0%,183.09
188.114.98.55:878,0%,183.14
162.159.195.6:3854,0%,183.18
188.114.99.55:1701,0%,183.29
188.114.98.239:894,0%,183.41
188.114.98.160:987,0%,183.43
188.114.98.24:908,0%,183.45
188.114.98.57:4500,0%,183.60
162.159.195.40:1018,0%,183.79
188.114.98.11:4500,0%,183.85
162.159.195.4:7103,0%,183.96
188.114.99.175:4198,0%,184.22
188.114.99.160:890,0%,184.22
188.114.99.116:5279,0%,184.31
188.114.99.176:1018,0%,184.38
162.159.195.49:3476,0%,184.42
188.114.98.240:1002,0%,184.42
188.114.99.193:854,0%,184.62
188.114.98.34:7103,0%,184.71
188.114.98.60:2506,0%,184.79
188.114.99.13:3476,0%,184.80
188.114.99.89:908,0%,184.85
188.114.98.253:943,0%,184.88
188.114.98.142:878,0%,184.94
162.159.195.207:3581,0%,185.00
188.114.98.38:1387,0%,185.50
188.114.98.224:1002,0%,185.51
188.114.98.79:903,0%,185.78
188.114.98.36:903,0%,185.84
188.114.98.117:1701,0%,186.81
188.114.98.238:968,0%,187.83
188.114.98.71:8886,0%,190.05
